ID,Use Case,Actors,Use Case Description
"UC-01","Đăng nhập","Dược sĩ, Thủ kho, Admin, Quản lý chi nhánh","Cho phép nhân sự đăng nhập vào hệ thống bằng tài khoản và mật khẩu được cấp."
"UC-02","Xác thực email","Nhân sự mới","Cho phép nhân viên xác nhận mã kích hoạt gửi về email cá nhân sau khi đăng ký thành công."
"UC-03","Đăng nhập Google","Khách hàng","Cho phép khách hàng đăng nhập nhanh vào cổng mua sắm trực tuyến bằng tài khoản Google."
"UC-04","Khôi phục mật khẩu","Dược sĩ, Thủ kho, Admin, Quản lý chi nhánh","Cho phép nhân viên gửi yêu cầu khôi phục mật khẩu qua email khi không nhớ thông tin đăng nhập."
"UC-05","Đặt lại mật khẩu","Dược sĩ, Thủ kho, Admin, Quản lý chi nhánh","Cho phép nhân viên điền mật khẩu mới thông qua đường dẫn mã bảo mật được gửi tới email khôi phục."
"UC-06","Đăng xuất","Tất cả các Actors","Hủy phiên làm việc hiện tại và thoát an toàn khỏi tài khoản trên hệ thống."
"UC-07","Tìm kiếm thuốc online","Khách hàng","Duyệt xem, tìm kiếm thuốc theo tên/hoạt chất/công dụng trên cổng mua sắm trực tuyến."
"UC-08","Thêm vào giỏ cá nhân","Khách hàng","Cho phép khách hàng lưu sản phẩm thuốc muốn mua vào giỏ hàng cá nhân để thanh toán sau."
"UC-09","Quản lý giỏ cá nhân","Khách hàng","Cho phép khách hàng tăng/giảm số lượng thuốc hoặc xóa bỏ sản phẩm khỏi giỏ hàng cá nhân trực tuyến."
"UC-10","Xác nhận đặt hàng online","Khách hàng","Điền thông tin họ tên, số điện thoại, địa chỉ nhận hàng và xác nhận gửi đơn đặt hàng trực tuyến."
"UC-11","Thanh toán đơn online","Khách hàng","Thực hiện thanh toán tiền hàng trực tuyến bằng chuyển khoản ngân hàng qua mã QR động hoặc COD."
"UC-12","Xem lịch sử đơn hàng","Khách hàng","Xem danh sách các đơn hàng đã đặt trong quá khứ, thông tin chi tiết từng đơn và trạng thái giao hàng."
